site_num,poc,date_local,pm25_daily_mean,site_name
0010,3,2025-01-03,9.5,South Camden
0010,3,2025-01-10,5.35,South Camden
0010,3,2025-01-11,12.22,South Camden
0010,3,2025-01-21,6.981818,South Camden
0010,3,2025-01-22,14.7,South Camden
0010,3,2025-01-22,14.779167,South Camden
0010,3,2025-01-23,20.4,South Camden
0010,3,2025-01-23,20.495833,South Camden
0010,3,2025-01-24,19.558333,South Camden
0010,3,2025-01-28,10.3,South Camden
0010,3,2025-01-29,6.1,South Camden
0010,3,2025-01-29,6.109524,South Camden
0010,3,2025-01-30,5,South Camden
0010,3,2025-01-30,5.0375,South Camden
0010,3,2025-01-31,8.1,South Camden
0010,3,2025-01-31,8.195833,South Camden
0010,3,2025-02-01,4.5,South Camden
0010,3,2025-02-01,4.504348,South Camden
0010,3,2025-02-02,3.2,South Camden
0010,3,2025-02-02,3.229167,South Camden
0010,3,2025-02-03,9.7,South Camden
0010,3,2025-02-03,9.7,South Camden
0010,3,2025-02-04,9.7,South Camden
0010,3,2025-02-04,9.770833,South Camden
0010,3,2025-02-05,5.5,South Camden
0010,3,2025-02-05,5.579167,South Camden
0010,3,2025-02-06,8.3,South Camden
0010,3,2025-02-06,8.3625,South Camden
0010,3,2025-02-07,9.2,South Camden
0010,3,2025-02-07,9.208333,South Camden
0010,3,2025-02-08,7.2,South Camden
0010,3,2025-02-08,7.2125,South Camden
0010,3,2025-02-09,7.1,South Camden
0010,3,2025-02-09,7.1875,South Camden
0010,3,2025-02-10,6.7,South Camden
0010,3,2025-02-10,6.775,South Camden
0010,3,2025-02-11,7.5,South Camden
0010,3,2025-02-11,7.5125,South Camden
0010,3,2025-02-12,12.5,South Camden
0010,3,2025-02-12,12.545833,South Camden
0010,3,2025-02-13,4.8,South Camden
0010,3,2025-02-13,4.854167,South Camden
0010,3,2025-02-14,6.1,South Camden
0010,3,2025-02-14,6.1875,South Camden
0010,3,2025-02-15,7.4,South Camden
0010,3,2025-02-15,7.408333,South Camden
0010,3,2025-02-16,4.5,South Camden
0010,3,2025-02-16,4.525,South Camden
0010,3,2025-02-17,2.8,South Camden
0010,3,2025-02-17,2.866667,South Camden
0010,3,2025-02-18,6.3,South Camden
0010,3,2025-02-18,6.304167,South Camden
0010,3,2025-02-19,4.2,South Camden
0010,3,2025-02-19,4.2625,South Camden
0010,3,2025-02-20,6,South Camden
0010,3,2025-02-20,6.029167,South Camden
0010,3,2025-02-21,57.4,South Camden
0010,3,2025-02-21,57.483333,South Camden
0010,3,2025-02-22,13.5,South Camden
0010,3,2025-02-22,13.508333,South Camden
0010,3,2025-02-23,11.9,South Camden
0010,3,2025-02-23,11.9875,South Camden
0010,3,2025-02-24,13.8,South Camden
0010,3,2025-02-24,13.820833,South Camden
0010,3,2025-02-25,10,South Camden
0010,3,2025-02-25,10.004348,South Camden
0010,3,2025-02-26,9.8,South Camden
0010,3,2025-02-26,9.820833,South Camden
0010,3,2025-02-27,11.7,South Camden
0010,3,2025-02-27,11.720833,South Camden
0010,3,2025-02-28,6.1,South Camden
0010,3,2025-02-28,6.195833,South Camden
0010,3,2025-03-01,5.8,South Camden
0010,3,2025-03-01,5.866667,South Camden
0010,3,2025-03-02,3,South Camden
0010,3,2025-03-02,3.056522,South Camden
0010,3,2025-03-03,5.2,South Camden
0010,3,2025-03-03,5.216667,South Camden
0010,3,2025-03-04,8.2,South Camden
0010,3,2025-03-04,8.222727,South Camden
0010,3,2025-03-05,5.2,South Camden
0010,3,2025-03-05,5.258333,South Camden
0010,3,2025-03-06,3.4,South Camden
0010,3,2025-03-06,3.404167,South Camden
0010,3,2025-03-07,4.1,South Camden
0010,3,2025-03-07,4.108333,South Camden
0010,3,2025-03-08,3.2,South Camden
0010,3,2025-03-08,3.270833,South Camden
0010,3,2025-03-09,4.3,South Camden
0010,3,2025-03-09,4.366667,South Camden
0010,3,2025-03-10,6.9,South Camden
0010,3,2025-03-10,6.9875,South Camden
0010,3,2025-03-11,9,South Camden
0010,3,2025-03-11,9.063636,South Camden
0010,3,2025-03-12,3.9,South Camden
0010,3,2025-03-12,3.9125,South Camden
0010,3,2025-03-13,6.5,South Camden
0010,3,2025-03-13,6.590909,South Camden
0010,3,2025-03-14,8.5,South Camden
0010,3,2025-03-14,8.53913,South Camden
0010,3,2025-03-15,6.7,South Camden
