sensor_index,date_created,last_seen,name,location_type,latitude,longitude,confidence,miles_from_emr,in_primary_radius,date_created_utc,last_seen_utc
217345,1710187186,1780727110,Sbfourthstreet,0,39.923466,-75.12143,0,0.42908100808873934,True,2024-03-11 19:59:46+00:00,2026-06-06 06:25:10+00:00
104742,1619044786,1780727287,Center For Environmental Transformation,0,39.92167,-75.12073,100,0.5271998606236667,True,2021-04-21 22:39:46+00:00,2026-06-06 06:28:07+00:00
301899,1764110942,1780727277,Camden Fireworks Outdoor,0,39.921738,-75.12034,100,0.5409958056984704,True,2025-11-25 22:49:02+00:00,2026-06-06 06:27:57+00:00
120339,1628890497,1780727288,Cooper Plaza,0,39.940563,-75.11838,100,1.1246384839892132,True,2021-08-13 21:34:57+00:00,2026-06-06 06:28:08+00:00
98763,1612374572,1780727271,2ndBeck,0,39.936398,-75.14664,100,1.1817276765736406,True,2021-02-03 17:49:32+00:00,2026-06-06 06:27:51+00:00
259889,1737477415,1780727233,MSP Air Quality,0,39.919582,-75.157364,100,1.5919566738260258,True,2025-01-21 16:36:55+00:00,2026-06-06 06:27:13+00:00
225745,1715958952,1780727258,CAC SouthPhilly I95 010a,0,39.937244,-75.15665,100,1.6657671464302861,True,2024-05-17 15:15:52+00:00,2026-06-06 06:27:38+00:00
225769,1715958992,1780727189,CAC South Philly I95 042,0,39.9305,-75.15964,100,1.668386289813131,True,2024-05-17 15:16:32+00:00,2026-06-06 06:26:29+00:00
227285,1717618992,1780727266,CAC South Philly I95 052,0,39.92957,-75.17033,0,2.220938238042452,False,2024-06-05 20:23:12+00:00,2026-06-06 06:27:46+00:00
311561,1777907377,1780727292,Collingswood,0,39.914726,-75.08774,100,2.3098181551684664,False,2026-05-04 15:09:37+00:00,2026-06-06 06:28:12+00:00
227799,1717805105,1780727213,CAC Point Breeze I95 54,0,39.935036,-75.17461,100,2.50966876093293,False,2024-06-08 00:05:05+00:00,2026-06-06 06:26:53+00:00
226797,1717161941,1780727237,CAC South Philly I95 044,0,39.926743,-75.17846,100,2.6404680739371265,False,2024-05-31 13:25:41+00:00,2026-06-06 06:27:17+00:00
172309,1669826779,1780727288,Green and 12th Philly,0,39.96287,-75.15711,100,2.9423374869146213,False,2022-11-30 16:46:19+00:00,2026-06-06 06:28:08+00:00
281380,1748549463,1780727231,High floor North side,0,39.950832,-75.17624,100,3.0385090397746293,False,2025-05-29 20:11:03+00:00,2026-06-06 06:27:11+00:00
228299,1718205880,1780727193,CAC Grays Ferry 95 016,0,39.93972,-75.18659,100,3.207536764422287,False,2024-06-12 15:24:40+00:00,2026-06-06 06:26:33+00:00
225809,1715960897,1780727235,CAC Grays Ferry I95 047,0,39.9332,-75.18863,97,3.2144675289622877,False,2024-05-17 15:48:17+00:00,2026-06-06 06:27:15+00:00
227189,1717618015,1780727269,CAC Grays Ferry I95 008,0,39.923244,-75.19013,100,3.2655961861849923,False,2024-06-05 20:06:55+00:00,2026-06-06 06:27:49+00:00
225787,1715960885,1780727240,CAC Grays Ferry 043,0,39.92871,-75.19417,100,3.4766108631643275,False,2024-05-17 15:48:05+00:00,2026-06-06 06:27:20+00:00
225735,1715958937,1780710440,CAC Grays Ferry I95 041,0,39.931,-75.19615,100,3.5921529268926666,False,2024-05-17 15:15:37+00:00,2026-06-06 01:47:20+00:00
225759,1715958985,1780727214,CAC South Philly I95 049(b),0,39.93765,-75.195206,100,3.6133008828967976,False,2024-05-17 15:16:25+00:00,2026-06-06 06:26:54+00:00
159323,1660254449,1780727187,Philly Community Wireless Waterloo,0,39.97926,-75.13489,100,3.6735606497612894,False,2022-08-11 21:47:29+00:00,2026-06-06 06:26:27+00:00
277301,1746477606,1780727289,Korman Quad,0,39.954765,-75.18831,100,3.7230474241477807,False,2025-05-05 20:40:06+00:00,2026-06-06 06:28:09+00:00
180893,1683752245,1780727278,Philly Community Wireless,0,39.980434,-75.141365,100,3.8000270995980387,False,2023-05-10 20:57:25+00:00,2026-06-06 06:27:58+00:00
196099,1695143525,1780727277,GALAEI,0,39.981354,-75.134315,100,3.815149052533197,False,2023-09-19 17:12:05+00:00,2026-06-06 06:27:57+00:00
180883,1683751888,1780727279,Cesar Andreu Iglesias Gardens,0,39.98096,-75.14211,100,3.8429332356466164,False,2023-05-10 20:51:28+00:00,2026-06-06 06:27:59+00:00
295146,1758044416,1780727178,PSR PA Zen PR1,0,39.981197,-75.11239,100,3.888712384991457,False,2025-09-16 17:40:16+00:00,2026-06-06 06:26:18+00:00
180853,1683751379,1780727204,Philly Community Wireless,0,39.982666,-75.13653,100,3.9163155435808124,False,2023-05-10 20:42:59+00:00,2026-06-06 06:26:44+00:00
159559,1660336284,1780727185,Norris Square Neighborhood Project,0,39.982887,-75.133736,100,3.918511487336003,False,2022-08-12 20:31:24+00:00,2026-06-06 06:26:25+00:00
265525,1739562970,1780727210,West Kensington Ministry,0,39.98339,-75.13596,100,3.962984765733456,False,2025-02-14 19:56:10+00:00,2026-06-06 06:26:50+00:00
157071,1658868044,1780727274,Raíces,0,39.984295,-75.13628,0,4.0268879826248085,False,2022-07-26 20:40:44+00:00,2026-06-06 06:27:54+00:00
